,Player_Name,Country,Start_Year,End_Year,Matches,Innings,Not_Out,Total_Runs,Highest_Score,Batting_Average,Ball_Faced,Strike_Rate,100's,50's
0,SR Tendulkar ,India,1989,2012,463,452,41,18426,200,44.83,21368,86.23,49.0,96.0
1,V Kohli ,India,2008,2026,311,299,47,14797,183,58.71,15771,93.82,54.0,77.0
2,KC Sangakkara ,Asia,2000,2015,404,380,41,14234,169,41.98,18048,78.86,25.0,93.0
3,RT Ponting ,Australia,1995,2012,375,365,39,13704,164,42.03,17046,80.39,30.0,82.0
4,ST Jayasuriya ,Asia,1989,2011,445,433,18,13430,189,32.36,14725,91.2,28.0,68.0
5,DPMD Jayawardene ,Asia,1998,2015,448,418,39,12650,144,33.37,16020,78.96,19.0,77.0
6,Inzamam-ul-Haq ,Asia,1991,2007,378,350,53,11739,137,39.52,15812,74.24,10.0,83.0
7,RG Sharma ,India,2007,2026,285,277,37,11720,264,48.83,12606,92.97,33.0,62.0
8,JH Kallis ,Afr,1996,2014,328,314,53,11579,139,44.36,15885,72.89,17.0,86.0
9,SC Ganguly ,Asia,1992,2007,311,300,23,11363,183,41.02,15416,73.7,22.0,72.0
10,R Dravid ,Asia,1996,2011,344,318,40,10889,153,39.16,15285,71.23,12.0,83.0
11,MS Dhoni ,Asia,2004,2019,350,297,84,10773,183,50.57,12303,87.56,10.0,73.0
12,CH Gayle ,ICC,1999,2019,301,294,17,10480,215,37.83,12019,87.19,25.0,54.0
13,BC Lara ,ICC,1990,2007,299,289,32,10405,169,40.48,13086,79.51,19.0,63.0
14,TM Dilshan ,Sri Lanka,1999,2016,330,303,41,10290,161,39.27,11933,86.23,22.0,47.0
15,Mohammad Yousuf ,Asia,1998,2010,288,273,40,9720,141,41.71,12942,75.1,15.0,64.0
16,AC Gilchrist ,Australia,1996,2008,287,279,11,9619,172,35.89,9922,96.94,16.0,55.0
17,AB de Villiers ,Afr,2005,2018,228,218,39,9577,176,53.5,9473,101.09,25.0,53.0
18,M Azharuddin ,India,1985,2000,334,308,54,9378,153,36.92,12669,74.02,7.0,58.0
19,PA de Silva ,Sri Lanka,1984,2003,308,296,30,9284,145,34.9,11443,81.13,11.0,64.0
20,Saeed Anwar ,Pakistan,1989,2003,247,244,19,8824,194,39.21,10938,80.67,20.0,43.0
21,S Chanderpaul ,West Indies,1994,2011,268,251,40,8778,150,41.6,12408,70.74,11.0,59.0
22,Yuvraj Singh ,Asia,2000,2017,304,278,40,8701,150,36.55,9924,87.67,14.0,52.0
23,DL Haynes ,West Indies,1978,1994,238,237,28,8648,152,41.37,13707,63.09,17.0,57.0
24,LRPL Taylor ,New Zealand,2006,2022,236,220,39,8607,181,47.55,10330,83.32,21.0,51.0
25,MS Atapattu ,Sri Lanka,1990,2007,268,259,32,8529,132,37.57,12594,67.72,11.0,59.0
26,ME Waugh ,Australia,1988,2002,244,236,20,8500,173,39.35,11053,76.9,18.0,50.0
27,Tamim Iqbal ,Bangladesh,2007,2023,243,240,12,8357,158,36.65,10642,78.52,14.0,56.0
28,V Sehwag ,Asia,1999,2013,251,245,9,8273,219,35.05,7929,104.33,15.0,38.0
29,HM Amla ,South Africa,2008,2019,181,178,14,8113,159,49.46,9178,88.39,27.0,39.0
30,HH Gibbs ,South Africa,1996,2010,248,240,16,8094,175,36.13,9721,83.26,21.0,37.0
31,Shahid Afridi ,Asia,1996,2015,398,369,27,8064,124,23.57,6892,117.0,6.0,39.0
32,SP Fleming ,ICC,1994,2007,280,269,21,8037,134,32.4,11242,71.49,8.0,49.0
33,MJ Clarke ,Australia,2003,2015,245,223,44,7981,130,44.58,10104,78.98,8.0,58.0
34,Mushfiqur Rahim ,Bangladesh,2006,2025,274,256,42,7795,144,36.42,9780,79.7,9.0,49.0
35,EJG Morgan ,England,2006,2022,248,230,34,7701,148,39.29,8447,91.16,14.0,47.0
36,JE Root ,England,2013,2026,189,178,25,7577,166,49.52,8650,87.59,20.0,45.0
37,Shakib Al Hasan ,Bangladesh,2006,2023,247,234,31,7570,134,37.29,9138,82.84,9.0,56.0
38,SR Waugh ,Australia,1986,2002,325,288,58,7569,120,32.9,9971,75.91,3.0,45.0
39,Shoaib Malik ,Pakistan,1999,2019,287,258,40,7534,143,34.55,9199,81.9,9.0,44.0
40,A Ranatunga ,Sri Lanka,1982,1999,269,255,47,7456,131,35.84,9571,77.9,4.0,49.0
41,Javed Miandad ,Pakistan,1975,1996,233,218,41,7381,119,41.7,11014,67.01,8.0,50.0
42,MJ Guptill ,New Zealand,2009,2022,198,195,19,7346,237,41.73,8415,87.29,18.0,39.0
43,KS Williamson ,New Zealand,2010,2025,175,167,18,7256,148,48.69,8893,81.59,15.0,47.0
44,Younis Khan ,Pakistan,2000,2015,265,255,23,7249,144,31.24,9628,75.29,7.0,48.0
45,Saleem Malik ,Pakistan,1982,1999,283,256,38,7170,102,32.88,9383,76.41,5.0,47.0
46,Q de Kock ,South Africa,2013,2025,161,161,8,7123,178,46.55,7367,96.68,23.0,32.0
47,NJ Astle ,New Zealand,1995,2007,223,217,14,7090,145,34.92,9760,72.64,16.0,41.0
48,GC Smith ,Afr,2002,2013,197,194,10,6989,141,37.98,8648,80.81,10.0,47.0
49,WU Tharanga ,Asia,2005,2019,235,223,17,6951,174,33.74,9155,75.92,15.0,37.0
50,DA Warner ,Australia,2009,2023,161,159,6,6932,179,45.3,7127,97.26,22.0,33.0
51,MG Bevan ,Australia,1994,2004,232,196,67,6912,108,53.58,9320,74.16,6.0,46.0
52,G Kirsten ,South Africa,1993,2003,185,185,19,6798,188,40.95,9436,72.04,13.0,45.0
53,S Dhawan ,India,2010,2022,167,164,10,6793,143,44.11,7436,91.35,17.0,39.0
54,A Flower ,Zimbabwe,1992,2003,213,208,16,6786,145,35.34,9097,74.59,4.0,55.0
55,IVA Richards ,West Indies,1975,1991,187,167,24,6721,189,47.0,7451,90.2,11.0,45.0
56,BRM Taylor ,Zimbabwe,2004,2025,207,205,15,6704,145,35.28,8761,76.52,11.0,39.0
57,Babar Azam ,Pakistan,2015,2026,143,140,16,6626,158,53.43,7652,86.59,20.0,38.0
58,Mohammad Hafeez ,Pakistan,2003,2019,218,216,15,6614,140,32.9,8633,76.61,11.0,38.0
59,GW Flower ,Zimbabwe,1992,2010,221,214,18,6571,142,33.52,9723,67.58,6.0,40.0
60,Ijaz Ahmed ,Pakistan,1986,2000,250,232,29,6564,139,32.33,8174,80.3,10.0,37.0
61,AR Border ,Australia,1979,1994,273,252,39,6524,127,30.62,9134,71.42,3.0,39.0
62,RB Richardson ,West Indies,1983,1996,224,217,30,6248,122,33.41,9801,63.74,5.0,44.0
63,SD Hope ,West Indies,2016,2026,150,144,22,6169,170,50.56,7725,79.85,19.0,31.0
64,ML Hayden ,Australia,1993,2008,161,155,15,6133,181,43.8,7767,78.96,10.0,36.0
65,BB McCullum ,New Zealand,2002,2016,260,228,28,6083,166,30.41,6312,96.37,5.0,32.0
66,DM Jones ,Australia,1984,1994,164,161,25,6068,145,44.61,8362,72.56,7.0,46.0
67,PR Stirling ,Ireland,2008,2025,170,162,3,6005,177,37.76,6864,87.48,14.0,32.0
68,DC Boon ,Australia,1984,1995,181,177,16,5964,122,37.04,9157,65.13,5.0,37.0
69,JN Rhodes ,South Africa,1992,2003,245,220,51,5935,121,35.11,7336,80.9,2.0,33.0
70,AD Mathews ,Sri Lanka,2008,2023,226,195,48,5916,139,40.24,7136,82.9,3.0,40.0
71,Ramiz Raja ,Pakistan,1985,1997,198,197,15,5841,119,32.09,9226,63.31,9.0,31.0
72,RR Sarwan ,West Indies,2000,2013,181,169,33,5804,120,42.67,7663,75.74,5.0,38.0
73,SPD Smith ,Australia,2010,2025,170,154,20,5800,164,43.28,6669,86.96,12.0,35.0
74,CL Hooper ,West Indies,1987,2003,227,206,43,5761,113,35.34,7517,76.63,7.0,29.0
75,SR Watson ,Australia,2002,2015,190,169,27,5757,185,40.54,6365,90.44,9.0,33.0
76,Mahmudullah ,Bangladesh,2007,2025,239,209,53,5689,128,36.46,7327,77.64,4.0,32.0
77,H Masakadza ,Zimbabwe,2001,2019,209,208,4,5658,178,27.73,7728,73.21,5.0,34.0
78,SK Raina ,India,2005,2018,226,194,35,5615,116,35.31,6005,93.5,5.0,36.0
79,MN Samuels ,West Indies,2000,2018,207,196,26,5606,133,32.97,7463,75.11,10.0,30.0
80,WJ Cronje ,South Africa,1992,2000,188,175,31,5565,112,38.64,7277,76.47,2.0,39.0
81,JC Buttler ,England,2012,2026,199,171,30,5515,162,39.11,4787,115.2,11.0,29.0
82,F du Plessis ,South Africa,2011,2019,143,136,20,5507,185,47.47,6215,88.6,12.0,35.0
83,MEK Hussey ,Australia,2004,2012,185,157,44,5442,109,48.15,6243,87.16,3.0,39.0
84,IR Bell ,England,2004,2015,161,157,14,5416,141,37.87,7019,77.16,4.0,35.0
85,AJ Finch ,Australia,2013,2022,146,142,3,5406,153,38.89,6162,87.73,17.0,30.0
86,A Jadeja ,India,1992,2000,196,179,36,5359,119,37.47,7678,69.79,6.0,30.0
87,DR Martyn ,Australia,1992,2006,208,182,51,5346,144,40.8,6877,77.73,5.0,37.0
88,G Gambhir ,India,2003,2013,147,143,11,5238,150,39.68,6144,85.25,11.0,34.0
89,SC Williams ,Zimbabwe,2005,2025,164,159,20,5217,174,37.53,6000,86.95,8.0,37.0
90,ADR Campbell ,Zimbabwe,1992,2003,188,184,14,5185,131,30.5,7834,66.18,7.0,30.0
91,RS Mahanama ,Sri Lanka,1986,1999,213,198,23,5162,119,29.49,8521,60.57,4.0,35.0
92,CG Greenidge ,West Indies,1975,1991,128,127,13,5134,133,45.03,7908,64.92,11.0,31.0
93,Misbah-ul-Haq ,Pakistan,2002,2015,162,149,31,5122,96,43.4,6945,73.75,0.0,42.0
94,JP Duminy ,South Africa,2004,2019,199,179,40,5117,150,36.81,6052,84.55,4.0,27.0
95,PD Collingwood ,England,2001,2011,197,181,37,5092,120,35.36,6614,76.98,5.0,26.0
96,A Symonds ,Australia,1998,2009,198,161,33,5088,156,39.75,5504,92.44,6.0,30.0
97,Abdul Razzaq ,Asia,1996,2011,265,228,57,5080,112,29.7,6252,81.25,3.0,23.0
98,BKG Mendis ,Sri Lanka,2016,2026,156,152,13,4962,143,35.69,5653,87.77,6.0,36.0
99,CL Cairns ,ICC,1991,2006,215,193,25,4950,115,29.46,5874,84.26,4.0,26.0
100,Aamer Sohail ,Pakistan,1990,2000,156,155,5,4780,134,31.86,7297,65.5,5.0,31.0
101,CD McMillan ,New Zealand,1997,2007,197,183,16,4707,117,28.18,6198,75.94,3.0,28.0
102,MD Crowe ,New Zealand,1982,1995,143,140,18,4704,107,38.55,6476,72.63,4.0,34.0
103,MV Boucher ,Afr,1998,2011,295,221,57,4686,147,28.57,5528,84.76,1.0,26.0
104,AJ Stewart ,England,1989,2003,170,162,14,4677,116,31.6,6841,68.36,4.0,28.0
105,DA Miller ,South Africa,2010,2025,178,154,45,4611,139,42.3,4447,103.68,7.0,24.0
106,TWM Latham ,New Zealand,2012,2026,166,153,19,4497,145,33.55,5290,85.0,8.0,26.0
107,SB Styris ,New Zealand,1999,2011,188,161,23,4483,141,32.48,5645,79.41,4.0,28.0
108,Sikandar Raza ,Zimbabwe,2013,2025,153,144,23,4476,141,36.99,5186,86.3,7.0,24.0
109,KP Pietersen ,England,2004,2013,136,125,16,4440,130,40.73,5128,86.58,9.0,25.0
